"specie","longitude","latitude"
"Motacilla flava",10.32939,43.85363
"Motacilla flava",10.33365,43.8144
"Motacilla flava",10.33531,43.81798
"Motacilla flava",10.33365,43.8144
"Motacilla flava",10.33365,43.8144
"Motacilla flava",10.33365,43.8144
"Motacilla flava",10.33365,43.8144
"Motacilla flava",10.33365,43.8144
"Motacilla flava",10.32939,43.85363
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34515,43.81802
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.33464,43.81034
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.33464,43.81034
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.34032,43.8097
"Motacilla flava",10.28023,43.77719
