"specie","longitude","latitude"
"Oenanthe oenanthe",10.33365,43.8144
"Oenanthe oenanthe",10.33915,43.81365
"Oenanthe oenanthe",10.27374,43.77918
"Oenanthe oenanthe",10.2677,43.7908
"Oenanthe oenanthe",10.27303,43.77959
"Oenanthe oenanthe",10.35655,43.83635
"Oenanthe oenanthe",10.35655,43.83635
"Oenanthe oenanthe",10.34032,43.8097
"Oenanthe oenanthe",10.34032,43.8097
"Oenanthe oenanthe",10.34032,43.8097
"Oenanthe oenanthe",10.35858,43.81519
"Oenanthe oenanthe",10.32466,43.80471
"Oenanthe oenanthe",10.34032,43.8097
"Oenanthe oenanthe",10.35161,43.8179
"Oenanthe oenanthe",10.34032,43.8097
"Oenanthe oenanthe",10.33464,43.81034
"Oenanthe oenanthe",10.35161,43.8179
"Oenanthe oenanthe",10.32466,43.80471
"Oenanthe oenanthe",10.34032,43.8097
"Oenanthe oenanthe",10.35161,43.8179
"Oenanthe oenanthe",10.26726,43.79415
