"specie","longitude","latitude"
"Pandion haliaetus",10.32478,43.84586
"Pandion haliaetus",10.33704,43.81975
"Pandion haliaetus",10.32939,43.85363
"Pandion haliaetus",10.35215,43.83723
"Pandion haliaetus",10.35655,43.83635
"Pandion haliaetus",10.35655,43.83635
"Pandion haliaetus",10.3522,43.83767
"Pandion haliaetus",10.35233,43.83769
"Pandion haliaetus",10.35268,43.83902
"Pandion haliaetus",10.35108,43.83702
"Pandion haliaetus",10.35678,43.83263
"Pandion haliaetus",10.35655,43.83635
"Pandion haliaetus",10.35655,43.83635
"Pandion haliaetus",10.35655,43.83635
"Pandion haliaetus",10.34032,43.8097
"Pandion haliaetus",10.35655,43.83635
"Pandion haliaetus",10.34032,43.8097
"Pandion haliaetus",10.34067,43.8149
"Pandion haliaetus",10.35655,43.83635
