"specie","longitude","latitude"
"Parus major",10.25076,43.84848
"Parus major",10.30761,43.862
"Parus major",10.30813,43.83489
"Parus major",10.23934,43.8824
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.28061,43.77717
"Parus major",10.39782,43.79909
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.33766,43.76657
"Parus major",10.35655,43.83635
"Parus major",10.35655,43.83635
"Parus major",10.28016,43.77729
"Parus major",10.28016,43.77729
"Parus major",10.35858,43.81519
"Parus major",10.35655,43.83635
"Parus major",10.34067,43.8149
"Parus major",10.28016,43.77729
"Parus major",10.35655,43.83635
"Parus major",10.37076,43.8144
"Parus major",10.31761,43.80305
"Parus major",10.35119,43.8418
"Parus major",10.28023,43.77719
"Parus major",10.28023,43.77719
"Parus major",10.36895,43.83579
"Parus major",10.35655,43.83635
