"specie","longitude","latitude"
"Passer italiae",10.30565,43.83356
"Passer italiae",10.30599,43.83322
"Passer italiae",10.2446,43.86813
"Passer italiae",10.24099,43.87125
"Passer italiae",10.27397,43.83155
"Passer italiae",10.30813,43.83489
"Passer italiae",10.30813,43.83489
"Passer italiae",10.24099,43.87125
"Passer italiae",10.30761,43.862
"Passer italiae",10.30688,43.90124
"Passer italiae",10.30726,43.90137
"Passer italiae",10.27301,43.91078
"Passer italiae",10.30661,43.83234
"Passer italiae",10.30687,43.83189
"Passer italiae",10.30466,43.83258
"Passer italiae",10.32939,43.85363
"Passer italiae",10.2422,43.8766
"Passer italiae",10.30813,43.83489
"Passer italiae",10.2422,43.8766
"Passer italiae",10.26079,43.81903
"Passer italiae",10.25131,43.86573
"Passer italiae",10.2413,43.8782
"Passer italiae",10.2413,43.8782
"Passer italiae",10.24418,43.86471
"Passer italiae",10.24418,43.86471
"Passer italiae",10.32939,43.85363
"Passer italiae",10.23934,43.8824
"Passer italiae",10.23728,43.88174
"Passer italiae",10.24795,43.8453
"Passer italiae",10.29694,43.82982
"Passer italiae",10.23547,43.87941
"Passer italiae",10.30507,43.83247
"Passer italiae",10.35228,43.83756
"Passer italiae",10.35228,43.83756
"Passer italiae",10.35228,43.83756
"Passer italiae",10.35,43.83
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34032,43.8097
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34032,43.8097
"Passer italiae",10.34045,43.86118
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34032,43.8097
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35557,43.83626
"Passer italiae",10.27557,43.77902
"Passer italiae",10.35629,43.83592
"Passer italiae",10.35655,43.83635
"Passer italiae",10.33766,43.76657
"Passer italiae",10.35565,43.83615
"Passer italiae",10.35655,43.83635
"Passer italiae",10.33766,43.76657
"Passer italiae",10.35655,43.83635
"Passer italiae",10.31877,43.75278
"Passer italiae",10.35655,43.83635
"Passer italiae",10.33766,43.76657
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34032,43.8097
"Passer italiae",10.27253,43.77972
"Passer italiae",10.35696,43.8249
"Passer italiae",10.27253,43.77972
"Passer italiae",10.35655,43.83635
"Passer italiae",10.27253,43.77972
"Passer italiae",10.33464,43.81034
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34032,43.8097
"Passer italiae",10.34032,43.8097
"Passer italiae",10.35655,43.83635
"Passer italiae",10.33464,43.81034
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34032,43.8097
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34515,43.81802
"Passer italiae",10.34515,43.81802
"Passer italiae",10.34515,43.81802
"Passer italiae",10.34032,43.8097
"Passer italiae",10.35858,43.81519
"Passer italiae",10.34629,43.85928
"Passer italiae",10.35589,43.83622
"Passer italiae",10.36196,43.82238
"Passer italiae",10.34515,43.81802
"Passer italiae",10.34067,43.8149
"Passer italiae",10.28016,43.77729
"Passer italiae",10.33984,43.80384
"Passer italiae",10.34067,43.8149
"Passer italiae",10.34515,43.81802
"Passer italiae",10.33464,43.81034
"Passer italiae",10.34515,43.81802
"Passer italiae",10.34067,43.8149
"Passer italiae",10.34515,43.81802
"Passer italiae",10.34515,43.81802
"Passer italiae",10.39782,43.79909
"Passer italiae",10.35655,43.83635
"Passer italiae",10.34515,43.81802
"Passer italiae",10.28016,43.77729
"Passer italiae",10.32466,43.80471
"Passer italiae",10.34576,43.84537
"Passer italiae",10.34767,43.81647
"Passer italiae",10.2725,43.77998
"Passer italiae",10.35655,43.83635
"Passer italiae",10.37076,43.8144
"Passer italiae",10.34032,43.8097
"Passer italiae",10.27253,43.77972
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35655,43.83635
"Passer italiae",10.35119,43.8418
"Passer italiae",10.35618,43.83624
"Passer italiae",10.34843,43.83403
"Passer italiae",10.35655,43.83635
"Passer italiae",10.28023,43.77719
"Passer italiae",10.35655,43.83635
"Passer italiae",10.26726,43.79415
"Passer italiae",10.28023,43.77719
"Passer italiae",10.36895,43.83579
"Passer italiae",10.35655,43.83635
