"specie","longitude","latitude"
"Passer montanus",10.30761,43.862
"Passer montanus",10.32114,43.81122
"Passer montanus",10.33365,43.8144
"Passer montanus",10.35655,43.83635
"Passer montanus",10.34032,43.8097
"Passer montanus",10.35655,43.83635
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.35655,43.83635
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.36196,43.82238
"Passer montanus",10.35696,43.8249
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34515,43.81802
"Passer montanus",10.34067,43.8149
"Passer montanus",10.34515,43.81802
"Passer montanus",10.32466,43.80471
"Passer montanus",10.34515,43.81802
"Passer montanus",10.34032,43.8097
"Passer montanus",10.33464,43.81034
"Passer montanus",10.35161,43.8179
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34032,43.8097
"Passer montanus",10.34515,43.81802
"Passer montanus",10.35161,43.8179
