"specie","longitude","latitude"
"Phalacrocorax carbo",10.31697,43.85113
"Phalacrocorax carbo",10.23111,43.88938
"Phalacrocorax carbo",10.32939,43.85363
"Phalacrocorax carbo",10.32939,43.85363
"Phalacrocorax carbo",10.30761,43.862
"Phalacrocorax carbo",10.31565,43.837
"Phalacrocorax carbo",10.30466,43.83258
"Phalacrocorax carbo",10.32939,43.85363
"Phalacrocorax carbo",10.32939,43.85363
"Phalacrocorax carbo",10.30813,43.83489
"Phalacrocorax carbo",10.30813,43.83489
"Phalacrocorax carbo",10.32939,43.85363
"Phalacrocorax carbo",10.33654,43.81173
"Phalacrocorax carbo",10.33704,43.81975
"Phalacrocorax carbo",10.30171,43.82844
"Phalacrocorax carbo",10.31509,43.81927
"Phalacrocorax carbo",10.32114,43.81122
"Phalacrocorax carbo",10.24418,43.86471
"Phalacrocorax carbo",10.24418,43.86471
"Phalacrocorax carbo",10.32939,43.85363
"Phalacrocorax carbo",10.3193,43.82231
"Phalacrocorax carbo",10.33704,43.81975
"Phalacrocorax carbo",10.33531,43.81798
"Phalacrocorax carbo",10.33704,43.81975
"Phalacrocorax carbo",10.33247,43.81871
"Phalacrocorax carbo",10.30702,43.83229
"Phalacrocorax carbo",10.31647,43.86029
"Phalacrocorax carbo",10.35137,43.83736
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.3502,43.8367
"Phalacrocorax carbo",10.26781,43.79045
"Phalacrocorax carbo",10.34666,43.8444
"Phalacrocorax carbo",10.35232,43.83764
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35393,43.83826
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35189,43.83772
"Phalacrocorax carbo",10.35169,43.83745
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.28061,43.77717
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.34032,43.8097
"Phalacrocorax carbo",10.3415,43.82416
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.35633,43.83611
"Phalacrocorax carbo",10.35655,43.83635
"Phalacrocorax carbo",10.3514,43.83832
"Phalacrocorax carbo",10.27725,43.77752
"Phalacrocorax carbo",10.27218,43.78012
"Phalacrocorax carbo",10.27217,43.78002
