"specie","longitude","latitude"
"Phasianus colchicus",10.31509,43.81927
"Phasianus colchicus",10.33106,43.81993
"Phasianus colchicus",10.33365,43.8144
"Phasianus colchicus",10.31509,43.81927
"Phasianus colchicus",10.31509,43.81927
"Phasianus colchicus",10.33106,43.81993
"Phasianus colchicus",10.33365,43.8144
"Phasianus colchicus",10.33365,43.8144
"Phasianus colchicus",10.33365,43.8144
"Phasianus colchicus",10.3193,43.82231
"Phasianus colchicus",10.3193,43.82231
"Phasianus colchicus",10.32648,43.81959
"Phasianus colchicus",10.33365,43.8144
"Phasianus colchicus",10.32648,43.81959
"Phasianus colchicus",10.3193,43.82231
"Phasianus colchicus",10.35655,43.83635
"Phasianus colchicus",10.35655,43.83635
"Phasianus colchicus",10.35261,43.84408
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.35655,43.83635
"Phasianus colchicus",10.35655,43.83635
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.35655,43.83635
"Phasianus colchicus",10.33766,43.76657
"Phasianus colchicus",10.35655,43.83635
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.33766,43.76657
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.3522,43.8388
"Phasianus colchicus",10.33464,43.81034
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.33984,43.80384
"Phasianus colchicus",10.34067,43.8149
"Phasianus colchicus",10.34515,43.81802
"Phasianus colchicus",10.33464,43.81034
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.34515,43.81802
"Phasianus colchicus",10.32466,43.80471
"Phasianus colchicus",10.34032,43.8097
"Phasianus colchicus",10.30599,43.76486
"Phasianus colchicus",10.28023,43.77719
"Phasianus colchicus",10.28023,43.77719
