"specie","longitude","latitude"
"Phoenicurus ochruros",10.32939,43.85363
"Phoenicurus ochruros",10.32939,43.85363
"Phoenicurus ochruros",10.25076,43.84848
"Phoenicurus ochruros",10.30761,43.862
"Phoenicurus ochruros",10.25742,43.81887
"Phoenicurus ochruros",10.2371,43.85888
"Phoenicurus ochruros",10.23813,43.85886
"Phoenicurus ochruros",10.32785,43.80523
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.35655,43.83635
"Phoenicurus ochruros",10.35655,43.83635
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.39782,43.79909
"Phoenicurus ochruros",10.35655,43.83635
"Phoenicurus ochruros",10.31877,43.75278
"Phoenicurus ochruros",10.35655,43.83635
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.33393,43.80982
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.32466,43.80471
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.34067,43.8149
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.34032,43.8097
"Phoenicurus ochruros",10.33464,43.81034
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.34067,43.8149
"Phoenicurus ochruros",10.36157,43.83153
"Phoenicurus ochruros",10.33464,43.81034
"Phoenicurus ochruros",10.37076,43.8144
"Phoenicurus ochruros",10.35161,43.8179
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.34515,43.81802
"Phoenicurus ochruros",10.35161,43.8179
"Phoenicurus ochruros",10.39168,43.78336
"Phoenicurus ochruros",10.39382,43.79921
"Phoenicurus ochruros",10.28016,43.77729
"Phoenicurus ochruros",10.33331,43.80933
"Phoenicurus ochruros",10.34239,43.81847
