"specie","longitude","latitude"
"Phylloscopus collybita",10.32939,43.85363
"Phylloscopus collybita",10.32939,43.85363
"Phylloscopus collybita",10.25076,43.84848
"Phylloscopus collybita",10.30761,43.862
"Phylloscopus collybita",10.25742,43.81887
"Phylloscopus collybita",10.30813,43.83489
"Phylloscopus collybita",10.33704,43.81975
"Phylloscopus collybita",10.32939,43.85363
"Phylloscopus collybita",10.33486,43.81784
"Phylloscopus collybita",10.32644,43.81967
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.39782,43.79909
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.32063,43.76533
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.33766,43.76657
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.30774,43.76577
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.35696,43.8249
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.34515,43.81802
"Phylloscopus collybita",10.28016,43.77729
"Phylloscopus collybita",10.34767,43.81647
"Phylloscopus collybita",10.27253,43.77972
"Phylloscopus collybita",10.33464,43.81034
"Phylloscopus collybita",10.35655,43.83635
"Phylloscopus collybita",10.34032,43.8097
"Phylloscopus collybita",10.33464,43.81034
"Phylloscopus collybita",10.36157,43.83153
"Phylloscopus collybita",10.35161,43.8179
"Phylloscopus collybita",10.35161,43.8179
"Phylloscopus collybita",10.39168,43.78336
"Phylloscopus collybita",10.28016,43.77729
"Phylloscopus collybita",10.28023,43.77719
"Phylloscopus collybita",10.26726,43.79415
"Phylloscopus collybita",10.28023,43.77719
"Phylloscopus collybita",10.36895,43.83579
