"specie","longitude","latitude"
"Pica pica",10.32939,43.85363
"Pica pica",10.32939,43.85363
"Pica pica",10.25076,43.84848
"Pica pica",10.25453,43.83933
"Pica pica",10.30813,43.83489
"Pica pica",10.30813,43.83489
"Pica pica",10.30761,43.862
"Pica pica",10.30466,43.83258
"Pica pica",10.30813,43.83489
"Pica pica",10.32114,43.81122
"Pica pica",10.31509,43.81927
"Pica pica",10.33704,43.81975
"Pica pica",10.32215,43.8184
"Pica pica",10.33106,43.81993
"Pica pica",10.33106,43.81993
"Pica pica",10.33365,43.8144
"Pica pica",10.33365,43.8144
"Pica pica",10.33106,43.81993
"Pica pica",10.32939,43.85363
"Pica pica",10.33365,43.8144
"Pica pica",10.33365,43.8144
"Pica pica",10.33365,43.8144
"Pica pica",10.33365,43.8144
"Pica pica",10.33365,43.8144
"Pica pica",10.3193,43.82231
"Pica pica",10.32215,43.8184
"Pica pica",10.33106,43.81993
"Pica pica",10.32648,43.81959
"Pica pica",10.33106,43.81993
"Pica pica",10.33365,43.8144
"Pica pica",10.31647,43.86029
"Pica pica",10.29694,43.82982
"Pica pica",10.3232,43.81121
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.35261,43.84408
"Pica pica",10.35393,43.83826
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.30942,43.76323
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.32646,43.75575
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.33278,43.77556
"Pica pica",10.34289,43.78444
"Pica pica",10.33278,43.77556
"Pica pica",10.35206,43.79956
"Pica pica",10.32335,43.76493
"Pica pica",10.32369,43.76486
"Pica pica",10.35655,43.83635
"Pica pica",10.33766,43.76657
"Pica pica",10.35655,43.83635
"Pica pica",10.33766,43.76657
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.31877,43.75278
"Pica pica",10.34032,43.8097
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.34032,43.8097
"Pica pica",10.34328,43.81687
"Pica pica",10.35696,43.8249
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.34515,43.81802
"Pica pica",10.34767,43.81647
"Pica pica",10.34515,43.81802
"Pica pica",10.35858,43.81519
"Pica pica",10.34515,43.81802
"Pica pica",10.34515,43.81802
"Pica pica",10.32466,43.80471
"Pica pica",10.33464,43.81034
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.35858,43.81519
"Pica pica",10.33464,43.81034
"Pica pica",10.34767,43.81647
"Pica pica",10.34515,43.81802
"Pica pica",10.35161,43.8179
"Pica pica",10.33464,43.81034
"Pica pica",10.35655,43.83635
"Pica pica",10.35858,43.81519
"Pica pica",10.33464,43.81034
"Pica pica",10.35655,43.83635
"Pica pica",10.34067,43.8149
"Pica pica",10.34515,43.81802
"Pica pica",10.34032,43.8097
"Pica pica",10.34515,43.81802
"Pica pica",10.34515,43.81802
"Pica pica",10.34515,43.81802
"Pica pica",10.34067,43.8149
"Pica pica",10.34067,43.8149
"Pica pica",10.33464,43.81034
"Pica pica",10.34032,43.8097
"Pica pica",10.33984,43.80384
"Pica pica",10.34067,43.8149
"Pica pica",10.35161,43.8179
"Pica pica",10.34515,43.81802
"Pica pica",10.34515,43.81802
"Pica pica",10.34629,43.85928
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.34032,43.8097
"Pica pica",10.33464,43.81034
"Pica pica",10.31761,43.80305
"Pica pica",10.34515,43.81802
"Pica pica",10.35655,43.83635
"Pica pica",10.34515,43.81802
"Pica pica",10.34767,43.81647
"Pica pica",10.34515,43.81802
"Pica pica",10.34067,43.8149
"Pica pica",10.34515,43.81802
"Pica pica",10.34067,43.8149
"Pica pica",10.34515,43.81802
"Pica pica",10.35161,43.8179
"Pica pica",10.34032,43.8097
"Pica pica",10.35161,43.8179
"Pica pica",10.33464,43.81034
"Pica pica",10.36157,43.83153
"Pica pica",10.34515,43.81802
"Pica pica",10.35858,43.81519
"Pica pica",10.32466,43.80471
"Pica pica",10.32466,43.80471
"Pica pica",10.34067,43.8149
"Pica pica",10.32466,43.80471
"Pica pica",10.34767,43.81647
"Pica pica",10.33464,43.81034
"Pica pica",10.34767,43.81647
"Pica pica",10.31761,43.80305
"Pica pica",10.31761,43.80305
"Pica pica",10.33464,43.81034
"Pica pica",10.34767,43.81647
"Pica pica",10.34515,43.81802
"Pica pica",10.35161,43.8179
"Pica pica",10.33464,43.81034
"Pica pica",10.34576,43.84537
"Pica pica",10.35161,43.8179
"Pica pica",10.34515,43.81802
"Pica pica",10.34067,43.8149
"Pica pica",10.33464,43.81034
"Pica pica",10.2725,43.77998
"Pica pica",10.34515,43.81802
"Pica pica",10.34067,43.8149
"Pica pica",10.34515,43.81802
"Pica pica",10.35161,43.8179
"Pica pica",10.35161,43.8179
"Pica pica",10.35161,43.8179
"Pica pica",10.34032,43.8097
"Pica pica",10.34767,43.81647
"Pica pica",10.34032,43.8097
"Pica pica",10.32466,43.80471
"Pica pica",10.34515,43.81802
"Pica pica",10.34032,43.8097
"Pica pica",10.34515,43.81802
"Pica pica",10.35161,43.8179
"Pica pica",10.35161,43.8179
"Pica pica",10.35161,43.8179
"Pica pica",10.35161,43.8179
"Pica pica",10.37076,43.8144
"Pica pica",10.39168,43.78336
"Pica pica",10.35161,43.8179
"Pica pica",10.31593,43.76452
"Pica pica",10.34515,43.81802
"Pica pica",10.35161,43.8179
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.267,43.79421
"Pica pica",10.33415,43.80998
"Pica pica",10.35655,43.83635
"Pica pica",10.35655,43.83635
"Pica pica",10.28023,43.77719
"Pica pica",10.35655,43.83635
"Pica pica",10.28023,43.77719
