"specie","longitude","latitude"
"Picus viridis",10.25076,43.84848
"Picus viridis",10.31509,43.81927
"Picus viridis",10.31509,43.81927
"Picus viridis",10.3193,43.82231
"Picus viridis",10.32648,43.81959
"Picus viridis",10.32648,43.81959
"Picus viridis",10.3193,43.82231
"Picus viridis",10.23934,43.8824
"Picus viridis",10.35655,43.83635
"Picus viridis",10.34032,43.8097
"Picus viridis",10.35655,43.83635
"Picus viridis",10.35655,43.83635
"Picus viridis",10.39782,43.79909
"Picus viridis",10.35655,43.83635
"Picus viridis",10.30774,43.76577
"Picus viridis",10.35655,43.83635
"Picus viridis",10.34767,43.81647
"Picus viridis",10.28016,43.77729
"Picus viridis",10.27253,43.77972
"Picus viridis",10.27253,43.77972
"Picus viridis",10.34032,43.8097
"Picus viridis",10.28016,43.77729
"Picus viridis",10.33984,43.80384
"Picus viridis",10.33464,43.81034
"Picus viridis",10.31761,43.80305
"Picus viridis",10.31761,43.80305
"Picus viridis",10.34576,43.84537
"Picus viridis",10.34067,43.8149
"Picus viridis",10.2725,43.77998
"Picus viridis",10.27253,43.77972
"Picus viridis",10.27253,43.77972
"Picus viridis",10.28016,43.77729
"Picus viridis",10.28016,43.77729
"Picus viridis",10.28023,43.77719
"Picus viridis",10.40013,43.79395
