"specie","longitude","latitude"
"Plegadis falcinellus",10.30813,43.83489
"Plegadis falcinellus",10.33365,43.8144
"Plegadis falcinellus",10.31509,43.81927
"Plegadis falcinellus",10.33365,43.8144
"Plegadis falcinellus",10.33185,43.8083
"Plegadis falcinellus",10.35261,43.84408
"Plegadis falcinellus",10.34032,43.8097
"Plegadis falcinellus",10.34032,43.8097
"Plegadis falcinellus",10.35655,43.83635
"Plegadis falcinellus",10.34515,43.81802
"Plegadis falcinellus",10.34767,43.81647
"Plegadis falcinellus",10.35161,43.8179
"Plegadis falcinellus",10.34767,43.81647
"Plegadis falcinellus",10.34767,43.81647
"Plegadis falcinellus",10.35161,43.8179
"Plegadis falcinellus",10.35295,43.83658
"Plegadis falcinellus",10.35161,43.8179
"Plegadis falcinellus",10.35161,43.8179
"Plegadis falcinellus",10.35161,43.8179
"Plegadis falcinellus",10.35161,43.8179
"Plegadis falcinellus",10.35161,43.8179
