"specie","longitude","latitude"
"Podiceps cristatus",10.33295,43.83183
"Podiceps cristatus",10.32939,43.85363
"Podiceps cristatus",10.32939,43.85363
"Podiceps cristatus",10.30761,43.862
"Podiceps cristatus",10.30702,43.83229
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.26799,43.78815
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35393,43.83826
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35142,43.83834
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.31877,43.75278
"Podiceps cristatus",10.35139,43.83834
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35589,43.83622
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.34032,43.8097
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.34843,43.83403
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
"Podiceps cristatus",10.35655,43.83635
