"specie","longitude","latitude"
"Rallus aquaticus",10.32939,43.85363
"Rallus aquaticus",10.32939,43.85363
"Rallus aquaticus",10.30761,43.862
"Rallus aquaticus",10.3238,43.8181
"Rallus aquaticus",10.3238,43.8181
"Rallus aquaticus",10.33106,43.81993
"Rallus aquaticus",10.33704,43.81975
"Rallus aquaticus",10.32114,43.81122
"Rallus aquaticus",10.32939,43.85363
"Rallus aquaticus",10.3193,43.82231
"Rallus aquaticus",10.33531,43.81798
"Rallus aquaticus",10.3193,43.82231
"Rallus aquaticus",10.3193,43.82231
"Rallus aquaticus",10.32648,43.81959
"Rallus aquaticus",10.33704,43.81975
"Rallus aquaticus",10.33704,43.81975
"Rallus aquaticus",10.33106,43.81993
"Rallus aquaticus",10.3193,43.82231
"Rallus aquaticus",10.33106,43.81993
"Rallus aquaticus",10.33106,43.81993
"Rallus aquaticus",10.35255,43.84103
"Rallus aquaticus",10.35337,43.83916
"Rallus aquaticus",10.34823,43.84429
"Rallus aquaticus",10.35243,43.8409
"Rallus aquaticus",10.35304,43.83729
"Rallus aquaticus",10.35574,43.83641
"Rallus aquaticus",10.35426,43.83673
"Rallus aquaticus",10.35375,43.8369
"Rallus aquaticus",10.353,43.83731
"Rallus aquaticus",10.35308,43.83734
"Rallus aquaticus",10.35188,43.83868
"Rallus aquaticus",10.35272,43.83748
"Rallus aquaticus",10.35147,43.83836
"Rallus aquaticus",10.35265,43.83761
"Rallus aquaticus",10.36158,43.82986
"Rallus aquaticus",10.35394,43.83708
"Rallus aquaticus",10.34032,43.8097
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35346,43.8373
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.34032,43.8097
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35565,43.83615
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.3522,43.8388
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35696,43.8249
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.34032,43.8097
"Rallus aquaticus",10.35589,43.83622
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.34032,43.8097
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.34032,43.8097
"Rallus aquaticus",10.34515,43.81802
"Rallus aquaticus",10.34032,43.8097
"Rallus aquaticus",10.35161,43.8179
"Rallus aquaticus",10.34515,43.81802
"Rallus aquaticus",10.35161,43.8179
"Rallus aquaticus",10.35655,43.83635
"Rallus aquaticus",10.35655,43.83635
