"specie","longitude","latitude"
"Riparia riparia",10.30813,43.83489
"Riparia riparia",10.32939,43.85363
"Riparia riparia",10.32648,43.81959
"Riparia riparia",10.35655,43.83635
"Riparia riparia",10.34032,43.8097
"Riparia riparia",10.34032,43.8097
"Riparia riparia",10.34032,43.8097
"Riparia riparia",10.32592,43.80491
"Riparia riparia",10.34032,43.8097
"Riparia riparia",10.35655,43.83635
"Riparia riparia",10.34067,43.8149
"Riparia riparia",10.35161,43.8179
"Riparia riparia",10.34515,43.81802
"Riparia riparia",10.35161,43.8179
"Riparia riparia",10.34067,43.8149
"Riparia riparia",10.28023,43.77719
"Riparia riparia",10.35655,43.83635
"Riparia riparia",10.28023,43.77719
