"specie","longitude","latitude"
"Saxicola rubetra",10.33351,43.81796
"Saxicola rubetra",10.33348,43.81786
"Saxicola rubetra",10.33553,43.81884
"Saxicola rubetra",10.32939,43.85363
"Saxicola rubetra",10.33365,43.8144
"Saxicola rubetra",10.33989,43.81433
"Saxicola rubetra",10.34032,43.8097
"Saxicola rubetra",10.35655,43.83635
"Saxicola rubetra",10.34032,43.8097
"Saxicola rubetra",10.34032,43.8097
"Saxicola rubetra",10.26748,43.79112
"Saxicola rubetra",10.34032,43.8097
"Saxicola rubetra",10.34032,43.8097
"Saxicola rubetra",10.31761,43.80305
"Saxicola rubetra",10.37076,43.8144
