"specie","longitude","latitude"
"Saxicola rubicola",10.30761,43.862
"Saxicola rubicola",10.30813,43.83489
"Saxicola rubicola",10.33531,43.81798
"Saxicola rubicola",10.32215,43.8184
"Saxicola rubicola",10.33365,43.8144
"Saxicola rubicola",10.33477,43.81782
"Saxicola rubicola",10.32651,43.81942
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.31593,43.76452
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.35655,43.83635
"Saxicola rubicola",10.35655,43.83635
"Saxicola rubicola",10.28061,43.77717
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.37422,43.81498
"Saxicola rubicola",10.29705,43.77406
"Saxicola rubicola",10.35655,43.83635
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.35655,43.83635
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.30942,43.76323
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.36196,43.82238
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.27253,43.77972
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.33464,43.81034
"Saxicola rubicola",10.32466,43.80471
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.37076,43.8144
"Saxicola rubicola",10.33464,43.81034
"Saxicola rubicola",10.34576,43.84537
"Saxicola rubicola",10.36196,43.82238
"Saxicola rubicola",10.34767,43.81647
"Saxicola rubicola",10.33464,43.81034
"Saxicola rubicola",10.32466,43.80471
"Saxicola rubicola",10.35161,43.8179
"Saxicola rubicola",10.32466,43.80471
"Saxicola rubicola",10.34767,43.81647
"Saxicola rubicola",10.37076,43.8144
"Saxicola rubicola",10.37076,43.8144
"Saxicola rubicola",10.32999,43.80683
"Saxicola rubicola",10.34032,43.8097
"Saxicola rubicola",10.37076,43.8144
"Saxicola rubicola",10.37076,43.8144
"Saxicola rubicola",10.33066,43.8074
