"specie","longitude","latitude"
"Serinus serinus",10.30813,43.83489
"Serinus serinus",10.30761,43.862
"Serinus serinus",10.32939,43.85363
"Serinus serinus",10.26724,43.81333
"Serinus serinus",10.24418,43.86471
"Serinus serinus",10.24418,43.86471
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.32063,43.76533
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.26921,43.78244
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.34515,43.81802
"Serinus serinus",10.35858,43.81519
"Serinus serinus",10.37076,43.8144
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34629,43.85928
"Serinus serinus",10.31761,43.80305
"Serinus serinus",10.37076,43.8144
"Serinus serinus",10.39782,43.79909
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.34032,43.8097
"Serinus serinus",10.35655,43.83635
"Serinus serinus",10.28023,43.77719
"Serinus serinus",10.26726,43.79415
"Serinus serinus",10.36895,43.83579
"Serinus serinus",10.35655,43.83635
