"specie","longitude","latitude"
"Streptopelia decaocto",10.32939,43.85363
"Streptopelia decaocto",10.32939,43.85363
"Streptopelia decaocto",10.24099,43.87125
"Streptopelia decaocto",10.30813,43.83489
"Streptopelia decaocto",10.30813,43.83489
"Streptopelia decaocto",10.30761,43.862
"Streptopelia decaocto",10.30466,43.83258
"Streptopelia decaocto",10.30814,43.8347
"Streptopelia decaocto",10.30813,43.83489
"Streptopelia decaocto",10.32939,43.85363
"Streptopelia decaocto",10.33704,43.81975
"Streptopelia decaocto",10.24418,43.86471
"Streptopelia decaocto",10.24418,43.86471
"Streptopelia decaocto",10.33704,43.81975
"Streptopelia decaocto",10.33676,43.81982
"Streptopelia decaocto",10.32179,43.86859
"Streptopelia decaocto",10.29694,43.82982
"Streptopelia decaocto",10.24462,43.86698
"Streptopelia decaocto",10.30507,43.83247
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34515,43.81802
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35261,43.84408
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35633,43.83611
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.35657,43.83639
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.33766,43.76657
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.33766,43.76657
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35565,43.83615
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.33766,43.76657
"Streptopelia decaocto",10.3565,43.8361
"Streptopelia decaocto",10.3565,43.8364
"Streptopelia decaocto",10.34515,43.81802
"Streptopelia decaocto",10.35696,43.8249
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.34767,43.81647
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35858,43.81519
"Streptopelia decaocto",10.33464,43.81034
"Streptopelia decaocto",10.34515,43.81802
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.33464,43.81034
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.35858,43.81519
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34629,43.85928
"Streptopelia decaocto",10.35589,43.83622
"Streptopelia decaocto",10.35858,43.81519
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34576,43.84537
"Streptopelia decaocto",10.32466,43.80471
"Streptopelia decaocto",10.35161,43.8179
"Streptopelia decaocto",10.35858,43.81519
"Streptopelia decaocto",10.2725,43.77998
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.34515,43.81802
"Streptopelia decaocto",10.35161,43.8179
"Streptopelia decaocto",10.33464,43.81034
"Streptopelia decaocto",10.35161,43.8179
"Streptopelia decaocto",10.35858,43.81519
"Streptopelia decaocto",10.37076,43.8144
"Streptopelia decaocto",10.34032,43.8097
"Streptopelia decaocto",10.35161,43.8179
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.32977,43.76551
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35119,43.8418
"Streptopelia decaocto",10.35618,43.83624
"Streptopelia decaocto",10.34843,43.83403
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.35655,43.83635
"Streptopelia decaocto",10.26726,43.79415
"Streptopelia decaocto",10.28023,43.77719
"Streptopelia decaocto",10.36895,43.83579
"Streptopelia decaocto",10.35655,43.83635
