"specie","longitude","latitude"
"Streptopelia turtur",10.32939,43.85363
"Streptopelia turtur",10.33612,43.82102
"Streptopelia turtur",10.33531,43.81798
"Streptopelia turtur",10.31507,43.74861
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.34515,43.81802
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.34032,43.8097
"Streptopelia turtur",10.34032,43.8097
"Streptopelia turtur",10.32797,43.80528
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.34032,43.8097
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.34032,43.8097
"Streptopelia turtur",10.34515,43.81802
"Streptopelia turtur",10.35858,43.81519
"Streptopelia turtur",10.37076,43.8144
"Streptopelia turtur",10.34032,43.8097
"Streptopelia turtur",10.34032,43.8097
"Streptopelia turtur",10.37076,43.8144
"Streptopelia turtur",10.34515,43.81802
"Streptopelia turtur",10.35858,43.81519
"Streptopelia turtur",10.34629,43.85928
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.35858,43.81519
"Streptopelia turtur",10.34067,43.8149
"Streptopelia turtur",10.32588,43.80489
"Streptopelia turtur",10.34843,43.83403
"Streptopelia turtur",10.35655,43.83635
"Streptopelia turtur",10.35655,43.83635
