"specie","longitude","latitude"
"Sturnus vulgaris",10.24474,43.87592
"Sturnus vulgaris",10.24239,43.87084
"Sturnus vulgaris",10.24099,43.87125
"Sturnus vulgaris",10.30813,43.83489
"Sturnus vulgaris",10.30813,43.83489
"Sturnus vulgaris",10.24099,43.87125
"Sturnus vulgaris",10.23514,43.88275
"Sturnus vulgaris",10.30669,43.83293
"Sturnus vulgaris",10.32939,43.85363
"Sturnus vulgaris",10.30466,43.83258
"Sturnus vulgaris",10.32939,43.85363
"Sturnus vulgaris",10.30813,43.83489
"Sturnus vulgaris",10.26079,43.81903
"Sturnus vulgaris",10.32215,43.8184
"Sturnus vulgaris",10.32114,43.81122
"Sturnus vulgaris",10.31509,43.81927
"Sturnus vulgaris",10.33365,43.8144
"Sturnus vulgaris",10.33365,43.8144
"Sturnus vulgaris",10.31509,43.81927
"Sturnus vulgaris",10.3193,43.82231
"Sturnus vulgaris",10.23934,43.8824
"Sturnus vulgaris",10.23728,43.88174
"Sturnus vulgaris",10.33106,43.81993
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.31593,43.76452
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.30693,43.76441
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.37983,43.78387
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.28061,43.77717
"Sturnus vulgaris",10.32646,43.75575
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.27658,43.77766
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.32063,43.76533
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.33479,43.76826
"Sturnus vulgaris",10.32445,43.76318
"Sturnus vulgaris",10.35232,43.84302
"Sturnus vulgaris",10.35628,43.83629
"Sturnus vulgaris",10.27828,43.77734
"Sturnus vulgaris",10.29705,43.77406
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.33766,43.76657
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.3407,43.81877
"Sturnus vulgaris",10.32466,43.80471
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34767,43.81647
"Sturnus vulgaris",10.36196,43.82238
"Sturnus vulgaris",10.33464,43.81034
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.34515,43.81802
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.33464,43.81034
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.33464,43.81034
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34515,43.81802
"Sturnus vulgaris",10.37076,43.8144
"Sturnus vulgaris",10.35655,43.83635
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.35858,43.81519
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.28016,43.77729
"Sturnus vulgaris",10.34629,43.85928
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.28016,43.77729
"Sturnus vulgaris",10.31761,43.80305
"Sturnus vulgaris",10.37076,43.8144
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.31761,43.80305
"Sturnus vulgaris",10.32466,43.80471
"Sturnus vulgaris",10.32466,43.80471
"Sturnus vulgaris",10.32466,43.80471
"Sturnus vulgaris",10.34767,43.81647
"Sturnus vulgaris",10.34515,43.81802
"Sturnus vulgaris",10.35858,43.81519
"Sturnus vulgaris",10.28016,43.77729
"Sturnus vulgaris",10.37076,43.8144
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.34067,43.8149
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34032,43.8097
"Sturnus vulgaris",10.34515,43.81802
"Sturnus vulgaris",10.35161,43.8179
"Sturnus vulgaris",10.27253,43.77972
"Sturnus vulgaris",10.34515,43.81802
"Sturnus vulgaris",10.37076,43.8144
