"specie","longitude","latitude"
"Sylvia atricapilla",10.30761,43.862
"Sylvia atricapilla",10.2422,43.8766
"Sylvia atricapilla",10.30813,43.83489
"Sylvia atricapilla",10.32939,43.85363
"Sylvia atricapilla",10.2413,43.8782
"Sylvia atricapilla",10.25221,43.84179
"Sylvia atricapilla",10.31509,43.81927
"Sylvia atricapilla",10.32939,43.85363
"Sylvia atricapilla",10.26924,43.78435
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.32063,43.76533
"Sylvia atricapilla",10.34032,43.8097
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.31877,43.75278
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.30774,43.76577
"Sylvia atricapilla",10.33766,43.76657
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.34032,43.8097
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.34032,43.8097
"Sylvia atricapilla",10.34032,43.8097
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35858,43.81519
"Sylvia atricapilla",10.34515,43.81802
"Sylvia atricapilla",10.35858,43.81519
"Sylvia atricapilla",10.35589,43.83622
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.34032,43.8097
"Sylvia atricapilla",10.36157,43.83153
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.34032,43.8097
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.35119,43.8418
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.28023,43.77719
"Sylvia atricapilla",10.35655,43.83635
"Sylvia atricapilla",10.28023,43.77719
"Sylvia atricapilla",10.36895,43.83579
"Sylvia atricapilla",10.35655,43.83635
