"specie","longitude","latitude"
"Tachybaptus ruficollis",10.30761,43.862
"Tachybaptus ruficollis",10.33539,43.83156
"Tachybaptus ruficollis",10.32939,43.85363
"Tachybaptus ruficollis",10.30813,43.83489
"Tachybaptus ruficollis",10.24825,43.84459
"Tachybaptus ruficollis",10.32939,43.85363
"Tachybaptus ruficollis",10.3193,43.82231
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.3511,43.83806
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.34032,43.8097
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.26829,43.78713
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.34515,43.81802
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.34515,43.81802
"Tachybaptus ruficollis",10.34515,43.81802
"Tachybaptus ruficollis",10.34629,43.85928
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.34515,43.81802
"Tachybaptus ruficollis",10.34032,43.8097
"Tachybaptus ruficollis",10.26853,43.78695
"Tachybaptus ruficollis",10.26789,43.78831
"Tachybaptus ruficollis",10.34515,43.81802
"Tachybaptus ruficollis",10.35161,43.8179
"Tachybaptus ruficollis",10.2683,43.78776
"Tachybaptus ruficollis",10.26838,43.78716
"Tachybaptus ruficollis",10.35655,43.83635
"Tachybaptus ruficollis",10.26808,43.78825
