"specie","longitude","latitude"
"Threskiornis aethiopicus",10.33441,43.81761
"Threskiornis aethiopicus",10.33513,43.81595
"Threskiornis aethiopicus",10.32939,43.85363
"Threskiornis aethiopicus",10.32939,43.85363
"Threskiornis aethiopicus",10.32872,43.81797
"Threskiornis aethiopicus",10.30761,43.862
"Threskiornis aethiopicus",10.33106,43.81993
"Threskiornis aethiopicus",10.32215,43.8184
"Threskiornis aethiopicus",10.33365,43.8144
"Threskiornis aethiopicus",10.33365,43.8144
"Threskiornis aethiopicus",10.34581,43.85997
"Threskiornis aethiopicus",10.32161,43.80461
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.35655,43.83635
"Threskiornis aethiopicus",10.35184,43.83937
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.34767,43.81647
"Threskiornis aethiopicus",10.35161,43.8179
"Threskiornis aethiopicus",10.34067,43.8149
"Threskiornis aethiopicus",10.34767,43.81647
"Threskiornis aethiopicus",10.34032,43.8097
"Threskiornis aethiopicus",10.35161,43.8179
"Threskiornis aethiopicus",10.35161,43.8179
"Threskiornis aethiopicus",10.35161,43.8179
