"specie","longitude","latitude"
"Tringa glareola",10.33349,43.81377
"Tringa glareola",10.33322,43.8136
"Tringa glareola",10.33365,43.8144
"Tringa glareola",10.31509,43.81927
"Tringa glareola",10.33365,43.8144
"Tringa glareola",10.33365,43.8144
"Tringa glareola",10.35655,43.83635
"Tringa glareola",10.34032,43.8097
"Tringa glareola",10.34032,43.8097
"Tringa glareola",10.35655,43.83635
"Tringa glareola",10.34032,43.8097
"Tringa glareola",10.34032,43.8097
"Tringa glareola",10.34032,43.8097
"Tringa glareola",10.26726,43.79415
