"specie","longitude","latitude"
"Troglodytes troglodytes",10.25076,43.84848
"Troglodytes troglodytes",10.25453,43.83933
"Troglodytes troglodytes",10.25863,43.84408
"Troglodytes troglodytes",10.3193,43.82231
"Troglodytes troglodytes",10.35655,43.83635
"Troglodytes troglodytes",10.35655,43.83635
"Troglodytes troglodytes",10.34032,43.8097
"Troglodytes troglodytes",10.34032,43.8097
"Troglodytes troglodytes",10.34032,43.8097
"Troglodytes troglodytes",10.32466,43.80471
"Troglodytes troglodytes",10.36157,43.83153
"Troglodytes troglodytes",10.34515,43.81802
"Troglodytes troglodytes",10.26913,43.7853
"Troglodytes troglodytes",10.35119,43.8418
"Troglodytes troglodytes",10.36895,43.83579
