"specie","longitude","latitude"
"Turdus merula",10.25259,43.86755
"Turdus merula",10.25076,43.84848
"Turdus merula",10.25453,43.83933
"Turdus merula",10.24099,43.87125
"Turdus merula",10.30813,43.83489
"Turdus merula",10.30761,43.862
"Turdus merula",10.30616,43.83237
"Turdus merula",10.28098,43.91699
"Turdus merula",10.30721,43.90158
"Turdus merula",10.25742,43.81887
"Turdus merula",10.32939,43.85363
"Turdus merula",10.30466,43.83258
"Turdus merula",10.30813,43.83489
"Turdus merula",10.2422,43.8766
"Turdus merula",10.30813,43.83489
"Turdus merula",10.32939,43.85363
"Turdus merula",10.26079,43.81903
"Turdus merula",10.31509,43.81927
"Turdus merula",10.24492,43.86671
"Turdus merula",10.24418,43.86471
"Turdus merula",10.24418,43.86471
"Turdus merula",10.32939,43.85363
"Turdus merula",10.3193,43.82231
"Turdus merula",10.3193,43.82231
"Turdus merula",10.23728,43.88174
"Turdus merula",10.23934,43.8824
"Turdus merula",10.32648,43.81959
"Turdus merula",10.29694,43.82982
"Turdus merula",10.24462,43.86698
"Turdus merula",10.26946,43.78413
"Turdus merula",10.26751,43.79246
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.34032,43.8097
"Turdus merula",10.35261,43.84408
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.28061,43.77717
"Turdus merula",10.35655,43.83635
"Turdus merula",10.27658,43.77766
"Turdus merula",10.35655,43.83635
"Turdus merula",10.27615,43.77784
"Turdus merula",10.27799,43.77738
"Turdus merula",10.27868,43.77732
"Turdus merula",10.35295,43.84016
"Turdus merula",10.28047,43.77722
"Turdus merula",10.2794,43.7771
"Turdus merula",10.28006,43.77706
"Turdus merula",10.37056,43.85991
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.33766,43.76657
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.34032,43.8097
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.34032,43.8097
"Turdus merula",10.35655,43.83635
"Turdus merula",10.33766,43.76657
"Turdus merula",10.35655,43.83635
"Turdus merula",10.30774,43.76577
"Turdus merula",10.35655,43.83635
"Turdus merula",10.27253,43.77972
"Turdus merula",10.35655,43.83635
"Turdus merula",10.32466,43.80471
"Turdus merula",10.27253,43.77972
"Turdus merula",10.35858,43.81519
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35589,43.83622
"Turdus merula",10.35858,43.81519
"Turdus merula",10.35655,43.83635
"Turdus merula",10.34629,43.85928
"Turdus merula",10.31761,43.80305
"Turdus merula",10.34032,43.8097
"Turdus merula",10.35655,43.83635
"Turdus merula",10.28016,43.77729
"Turdus merula",10.34032,43.8097
"Turdus merula",10.34032,43.8097
"Turdus merula",10.32466,43.80471
"Turdus merula",10.34576,43.84537
"Turdus merula",10.36157,43.83153
"Turdus merula",10.34515,43.81802
"Turdus merula",10.31761,43.80305
"Turdus merula",10.34515,43.81802
"Turdus merula",10.2725,43.77998
"Turdus merula",10.35655,43.83635
"Turdus merula",10.34032,43.8097
"Turdus merula",10.31593,43.76452
"Turdus merula",10.28016,43.77729
"Turdus merula",10.35655,43.83635
"Turdus merula",10.35119,43.8418
"Turdus merula",10.35618,43.83624
"Turdus merula",10.36895,43.83579
"Turdus merula",10.28023,43.77719
"Turdus merula",10.34843,43.83403
"Turdus merula",10.35655,43.83635
"Turdus merula",10.28023,43.77719
"Turdus merula",10.35655,43.83635
"Turdus merula",10.26726,43.79415
"Turdus merula",10.35655,43.83635
