"specie","longitude","latitude"
"Upupa epops",10.29428,43.83849
"Upupa epops",10.32939,43.85363
"Upupa epops",10.35655,43.83635
"Upupa epops",10.35655,43.83635
"Upupa epops",10.35655,43.83635
"Upupa epops",10.34045,43.86118
"Upupa epops",10.35655,43.83635
"Upupa epops",10.35655,43.83635
"Upupa epops",10.3561,43.83687
"Upupa epops",10.35655,43.83635
"Upupa epops",10.35655,43.83635
"Upupa epops",10.35655,43.83635
"Upupa epops",10.35858,43.81519
"Upupa epops",10.35858,43.81519
"Upupa epops",10.34069,43.77652
"Upupa epops",10.35119,43.8418
